claim_id,exact_claim,type,source,originating_artifact,support_strength,scope,counterevidence,dependency,current_disposition,citation,access_date
C-001,"Advanced AI systems may benefit from an explicit, inspectable, cost-bounded, source-aware, revisable responsibility for deciding what context influences generation.","OWNER_PREMISE; DESIGN_HYPOTHESIS","Owner authorization","pasted-text.txt","Premise only","Provisional systems thesis","Existing systems may compose the same functions without a distinct layer; no comparative evaluation exists.","Historical recovery; operational definition; controlled comparison","RETAIN_AS_PROVISIONAL_NOT_PROVEN","Local owner authorization; not evidence","2026-08-17"
C-002,"Information acquisition and additional computation have costs that can rationally affect whether to continue searching.",PRIMARY_SOURCE_SUPPORTED,"Howard 1966; Russell and Wefald 1991; Pirolli and Card 1999",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Decision analysis, metareasoning, and information foraging","Utilities and costs can be misspecified; risk-sensitive exceptions matter.","Defined decision, cost, uncertainty, and utility","ACCEPT_BOUNDED","https://doi.org/10.1109/TSSC.1966.300074; https://doi.org/10.1016/0004-3702(91)90015-C; https://doi.org/10.1037/0033-295X.106.4.643","2026-08-17"
C-003,"Relevance feedback can alter a retrieval query using judgments about relevant and non-relevant material.",PRIMARY_SOURCE_SUPPORTED,"Rocchio 1971",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Information retrieval","Relevance remains task-relative and feedback can reinforce a mistaken frame.","Explicit information need and feedback signal","ACCEPT_BOUNDED","https://www.sigir.org/files/museum/pub-08/XXIII-1.pdf","2026-08-17"
C-004,"Assessing a source and assessing the content communicated by that source are distinguishable processes.",PRIMARY_SOURCE_SUPPORTED,"Sperber et al. 2010; Metzger 2007",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Moderate,"Human credibility and communication research","The processes interact and source cues can dominate content judgment.","Defined source, message, and decision context","ACCEPT_BOUNDED","https://doi.org/10.1111/j.1468-0017.2010.01394.x; https://doi.org/10.1002/asi.20672","2026-08-17"
C-005,"A long response may contain multiple atomic claims with different evidence-support states.",PRIMARY_SOURCE_SUPPORTED,"FEVER; SciFact; FActScore",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Bounded claim-verification and factuality-evaluation tasks","Open-world sources, temporal change, and contested claims remain harder than benchmark corpora.","Atomic claim definition and named evidence corpus","ACCEPT_BOUNDED","https://aclanthology.org/N18-1074/; https://aclanthology.org/2020.emnlp-main.609/; https://aclanthology.org/2023.emnlp-main.741/","2026-08-17"
C-006,"Provenance establishes lineage relationships but does not by itself establish factual correctness.",CONCEPTUAL_SYNTHESIS,"W3C PROV-O plus claim-verification literature",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Information artifacts and derivations","Complete lineage can faithfully preserve false content.","Stable source and artifact identity","ACCEPT_CENTRAL_BOUNDARY","https://www.w3.org/TR/prov-o/","2026-08-17"
C-007,"Repeated reports should not automatically be counted as independent evidence when they share a common underlying origin.",PRIMARY_SOURCE_SUPPORTED,"Cochrane Handbook chapter 4",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Evidence synthesis; analogical extension to source recurrence","Different reports may add distinct information; common origin may be uncertain.","Report-to-origin relationship analysis","ACCEPT_BOUNDED","https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-04","2026-08-17"
C-008,"A first-party source can strongly support a narrow claim about what that party officially said, released, or recorded without independently validating effectiveness or superiority.",CONCEPTUAL_SYNTHESIS,"Source-credibility and evidence-synthesis boundaries","Owner authorization and research synthesis",Moderate,"Narrow first-party claims","First-party records may be incomplete, changed, or deceptive; independent outcome claims need separate support.","Exact atomic claim and source role","ACCEPT_CENTRAL_BOUNDARY","https://doi.org/10.1002/asi.20672","2026-08-17"
C-009,"Attention priority is not a factual conclusion.",CONCEPTUAL_SYNTHESIS,"Information retrieval, mixed initiative, and Signal Foundry boundary docs","Owner authorization",Moderate,"Queueing and review policy","Poorly designed priority signals can still be interpreted as endorsement.","Visible reason and non-claiming label","ACCEPT_CENTRAL_BOUNDARY","https://www.microsoft.com/en-us/research/publication/principles-mixed-initiative-user-interfaces/","2026-08-17"
C-010,"A larger context does not guarantee that a language model will use all relevant information uniformly.",PRIMARY_SOURCE_SUPPORTED,"Liu et al. 2024",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Evaluated long-context language models and tasks","Behavior varies by model, task, and later improvements.","Model/version/task-specific evaluation","ACCEPT_BOUNDED","https://aclanthology.org/2024.tacl-1.9/","2026-08-17"
